random,Indiv. Assesment,Audit Score,RugDoc,Farm Name,Farm Symbol,Farm Url,rugdoc_url,network
,,,low,Smellycat,PUSSY,https://www.smellycat.finance,https://rugdoc.io/project/smellycat-finance/,MATIC
x,,,RUG,Polygold,POLYGOLD,https://polygold.finance,https://rugdoc.io/project/polygold/,MATIC
,,,low,Polyswan,SWAN,https://www.polyswan.finance,https://rugdoc.io/project/polyswan/,MATIC
,,,high,Polyion,LION,https://www.polyion.net,https://rugdoc.io/project/polyion/,MATIC
,,,Not Eligible,Eleven,ELE,https://eleven.finance,https://rugdoc.io/project/eleven-finance/,MATIC
x,,,some,Pirate Dice,BOOTY,http://piratedice.xyz,https://rugdoc.io/project/piratedice/,MATIC
x,,,some,PolyPingu,PINGU,https://polypingu.finance,https://rugdoc.io/project/polypingu/,MATIC
x,,,low,Goldenbull,GBULL,https://farms.goldenbull.finance,https://rugdoc.io/project/goldenbull/,MATIC
,,,some,Polyakita,HACHI,https://defi.polyakita.com,https://rugdoc.io/project/polyakita/,MATIC
x,,,low,Prism,PRISM,https://polygon.prismfinance.net,https://rugdoc.io/project/prism-finance/,MATIC
,,,high,Polybutterfly,POLLEN,https://polybutterfly.finance,https://rugdoc.io/project/polybutterfly/,MATIC
x,,,some,Southpark,SOUTHPARK,https://southpark.finance,https://rugdoc.io/project/south-park-finance/,MATIC
,,,low,PolyCash,CASH,https://polycash.finance,https://rugdoc.io/project/polycash/,MATIC
,,,high,Dinosaur,DINO,https://dinosaurfinance.vercel.app,https://rugdoc.io/project/dinosaur-finance/,MATIC
,,,some,Magic,DRAX/DMAGIC,https://defimagic.io,https://rugdoc.io/project/magic-defi/,MATIC
,,,low,Polymouse,MICE,https://polymouse.finance,https://rugdoc.io/project/polymouse/,MATIC
,,,low,PolyTiger,TIGON,https://www.polytiger.com,https://rugdoc.io/project/polytiger/,MATIC
,,,low,Polydeer,DEER,https://polydeer.finance,https://rugdoc.io/project/polydeer-finance/,MATIC
,,,low,Avengers,SHIELD,https://avengers.exchange,https://rugdoc.io/project/avengers-exchange/,MATIC
,,,low,BerserkFinance,BRSK,https://berserkfinance.com,https://rugdoc.io/project/berserk-finance/,MATIC
,,,low,PolyMeme,MEME,vfat.tools/polygon/polymeme,https://rugdoc.io/project/polymeme/,MATIC
,,,low,PolyPup,PUP,https://polypup.finance,https://rugdoc.io/project/polypup-finance/,MATIC
,,,low,Space,SPACE,https://polygon.space-defi.com,https://rugdoc.io/project/polygon-space-defi/,MATIC
,,,high,Glock,GLOCK,https://www.glockswap.com,https://rugdoc.io/project/glockswap/,MATIC
,,,some,PolyCarrot,CARROT,https://www.polycarrot.finance,https://rugdoc.io/project/polycarrot/,MATIC
,,,low,MordorSwap,MORDOR,https://mordorswap.finance,https://rugdoc.io/project/mordorswap/,MATIC
,,,low,PolyVertex,VERT,https://polyvertex.finance,https://rugdoc.io/project/polyvertex/,MATIC
,,,low,PolyMax,MAX,https://polymax.club,https://rugdoc.io/project/polymax/,MATIC
,,,low,PolySnowFarm,SNOW,https://polysnow.farm,https://rugdoc.io/project/polysnow-farm/,MATIC
,,,low,Polyyeld,YELD,https://polyyeld.finance,https://rugdoc.io/project/polyyeld-finance/,MATIC
,,,low,Polysa,DUFF,https://www.polysa.finance,https://rugdoc.io/project/polysa-finance/,MATIC
x,,,low,Pandaswap,BAMBOO,https://pandaswap.exchange,https://rugdoc.io/project/panda-swap-defi/,AVAX
x,,,some,Lydia,LYD,https://www.lydia.finance,https://rugdoc.io/project/lydia-avax/,AVAX
x,,,HIGH,Birdy,BIRD,https://birdy.finance,https://rugdoc.io/project/birdy-avalanche/,AVAX
x,,,low,Spooky,boo,https://spookyswap.finance,https://rugdoc.io/project/spookyswap/,FANTOM
x,,,some,Spirit,SPIRIT,https://app.spiritswap.finance,https://rugdoc.io/project/spiritswap/,FANTOM
