,pair1,pair2,tvl,apr,network,apy,type_of_agriculture,dex,date,Website,Network,Grade
161,AAVE,USDC,79257.89,220.39,FANTOM,800.0435798355703,FARM,https://www.liquiddriver.finance,2021-07-12,https://www.liquiddriver.finance,FANTOM,C
162,AAVE,USDC,79656.00,41.54,FANTOM,51.461881421233,FARM,https://klingftm.borgswap.exchange,2021-07-12,https://klingftm.borgswap.exchange,FANTOM,C
163,AAVE,WMATIC,138524.96,38.39,MATIC,46.77024987420313,FARM,https://farm.polyzap.finance,2021-07-12,https://farm.polyzap.finance,MATIC,C
164,AAVE,WMATIC,10364.15,0,MATIC,0.0,FARM,https://bali.worldswap.finance,2021-07-12,https://bali.worldswap.finance,MATIC,D
165,ABRA,,1732.18,182.03,BSC,514.5843530642055,FARM,https://abrakadabra.tech,2021-07-12,https://abrakadabra.tech,BSC,F
166,ABRA,BNB,466.97,308.97,BSC,2068.6637397678746,FARM,https://abrakadabra.tech,2021-07-12,https://abrakadabra.tech,BSC,F
167,ABRA,BUSD,493.76,584.40,BSC,32854.38510460046,FARM,https://abrakadabra.tech,2021-07-12,https://abrakadabra.tech,BSC,F
168,ABS,,338457.34,59.90,BSC,81.94040981219884,FARM,https://absorber.finance,2021-07-12,https://absorber.finance,BSC,D
169,ABS,1INCH,3.21,0.00,BSC,0.0,FARM,https://absorber.finance,2021-07-12,https://absorber.finance,BSC,D
170,ABS,BNB,1382.63,0.00,BSC,0.0,FARM,https://absorber.finance,2021-07-12,https://absorber.finance,BSC,D
171,ABS,BUSD,2294.61,0.00,BSC,0.0,FARM,https://absorber.finance,2021-07-12,https://absorber.finance,BSC,D
172,ABS,Cake,454.88,0.00,BSC,0.0,FARM,https://absorber.finance,2021-07-12,https://absorber.finance,BSC,D
173,ABYSS,ETH,239210.07121330002,0.7735933199999999,ETH,,POOL,Uniswap,2021-07-12,Uniswap,ETH,A
174,AC,ETH,131829.0960369,3.9313864799999996,ETH,,POOL,Uniswap,2021-07-12,Uniswap,ETH,A
175,ACG,ETH,16.2295784,0.0,ETH,,POOL,Sushi,2021-07-12,Sushi,ETH,A
176,ACORN,,0.00,0,MATIC,0.0,FARM,https://lumberjack.finance,2021-07-12,https://lumberjack.finance,MATIC,C
177,ACORN,USDC,134.34,621.26,MATIC,47257.98860956123,FARM,https://lumberjack.finance,2021-07-12,https://lumberjack.finance,MATIC,C
178,ACS,BNB,7320.44,0.00,BSC,0.0,FARM,https://app.acryptos.com,2021-07-12,https://app.acryptos.com,BSC,D
179,ACS,BNB,917042.18,71.33,BSC,103.92945203342654,FARM,https://mdex.com,2021-07-12,https://mdex.com,BSC,C
180,ACS,SXP,469802.26,0.45,BSC,0.4510112339964012,FARM,https://swipe.org/farm,2021-07-12,https://swipe.org/farm,BSC,B
181,ACS4IRON,,872.40,0.00,BSC,0.0,FARM,https://iron.finance/,2021-07-12,https://iron.finance/,BSC,C
182,ACXT,DGCL,9095.5224229,1.87806276,ETH,,POOL,Sushi,2021-07-12,Sushi,ETH,A
183,ACXWIN-KB,,0.00,0,BSC,0.0,FARM,https://xwin.finance,2021-07-12,https://xwin.finance,BSC,D
184,ADA,,383600000.00,0.00,BSC,0.0,FARM,https://www.goosedefi.com,2021-07-12,https://www.goosedefi.com,BSC,C
185,ADA,,383600000.00,0,BSC,0.0,FARM,https://www.goosedefi.com,2021-07-12,https://www.goosedefi.com,BSC,C
186,ADA,,383600000.00,0.00,BSC,0.0,FARM,http://slime.finance,2021-07-12,http://slime.finance,BSC,D
187,ADA,,383600000.00,451.03,BSC,8746.974264269917,FARM,https://brickchain.finance,2021-07-12,https://brickchain.finance,BSC,C
188,ADA,,383600000.00,32.07,BSC,37.7898061449423,FARM,https://app.hyruleswap.com,2021-07-12,https://app.hyruleswap.com,BSC,D
189,ADA,,383600000.00,144.39,BSC,322.5136443210338,FARM,https://www.jiggly.finance,2021-07-12,https://www.jiggly.finance,BSC,C
190,ADA,,383600000.00,0.00,BSC,0.0,FARM,http://shitz.lol,2021-07-12,http://shitz.lol,BSC,F
191,ADA,,383600000.00,5.68,BSC,5.843942309978645,FARM,https://mooncakeswap.finance,2021-07-12,https://mooncakeswap.finance,BSC,D
192,ADA,,383600000.00,39.17,BSC,47.918309667773904,FARM,https://app.comos.finance/,2021-07-12,https://app.comos.finance/,BSC,D
193,ADA,,383600000.00,313.85,BSC,2176.1794578816816,FARM,https://abrakadabra.tech,2021-07-12,https://abrakadabra.tech,BSC,F
194,ADA,,383600000.00,24.97,BSC,28.353068438835848,FARM,https://farm.borgswap.exchange,2021-07-12,https://farm.borgswap.exchange,BSC,C
195,ADA,,383600000.00,59.27,BSC,80.79964466752445,FARM,https://bitblocks.finance,2021-07-12,https://bitblocks.finance,BSC,C
196,ADA,,383600000.00,0,BSC,0.0,FARM,https://lokum.finance,2021-07-12,https://lokum.finance,BSC,D
197,ADA,,383600000.00,8.58,BSC,8.957740272422289,FARM,https://limeswap.io,2021-07-12,https://limeswap.io,BSC,C
198,ADA,,383600000.00,84.57,BSC,132.73301985615942,FARM,https://caramelswap.finance,2021-07-12,https://caramelswap.finance,BSC,C
199,ADA,,380800000.00,40.99,BSC,50.63206331183534,FARM,https://tapswap.finance,2021-07-12,https://tapswap.finance,BSC,D
200,ADA,,380800000.00,41.18,BSC,50.91821389338884,FARM,https://app.barbecueswapfinance.com,2021-07-12,https://app.barbecueswapfinance.com,BSC,D
201,ADA,,380800000.00,0.00,BSC,0.0,FARM,https://vanillacake.farm,2021-07-12,https://vanillacake.farm,BSC,D
202,ADA,,380800000.00,0.00,BSC,0.0,FARM,https://garudaswap.finance,2021-07-12,https://garudaswap.finance,BSC,D
203,ADA,,380800000.00,23.20,BSC,26.102678737808873,FARM,https://www.elixir-swap.io,2021-07-12,https://www.elixir-swap.io,BSC,F
204,ADA,,380800000.00,1.30,BSC,1.308463282931216,FARM,https://www.grizzlyswap.com,2021-07-12,https://www.grizzlyswap.com,BSC,C
205,ADA,,380800000.00,0.00,BSC,0.0,FARM,https://gocerberus.finance,2021-07-12,https://gocerberus.finance,BSC,C
