cmc_id,name,current_name,symbol,name_in_coingecko
7398.0,Coreto,Coreto,COR,Coreto
7806.0,Cornichon,Cornichon,CORN,Cornichon
2638.0,Cortex,Cortex,CTXC,Cortex
3794.0,Cosmos,Cosmos,ATOM,Cosmos
132.0,Counterparty,Counterparty,XCP,Counterparty
2342.0,Covesting,Covesting,COV,Covesting
8893.0,Cream ETH 2,Cream ETH 2,CRETH2,Cream ETH 2
2556.0,Credits,Credits,CS,CREDITS
3331.0,CrowdWiz,CrowdWiz,WIZ,CrowdWiz
720.0,Crown,Crown,CRW,Crown
8365.0,Crowns,Crowns,CWS,Crowns
8731.0,CryptEx,CryptEx,CRX,CryptEx
2447.0,Crypterium,Crypterium,CRPT,Crypterium
3894.0,Crypto Sports,Crypto Sports,CSPN,Crypto Sports
3635.0,Crypto.com Coin,Crypto.com Coin,CRO,Crypto.com Coin
4253.0,CryptoBonusMiles,CryptoBonusMiles,CBM,CryptoBonusMiles
8135.0,CryptoKek,CryptoKek,KEK,CryptoKek
6865.0,Crypton,Crypton,CRP,Crypton
9149.0,Cryptonovae,Cryptonovae,YAE,Cryptonovae
2314.0,Cryptopay,Cryptopay,CPAY,Cryptopay
2559.0,Cube,Cube,AUTO,Cube
7942.0,Curate,Curate,XCUR,Curate
333.0,Curecoin,Curecoin,CURE,Curecoin
5083.0,Curio,Curio,CUR,Curio
6538.0,Curve DAO Token,Curve DAO Token,CRV,Curve DAO Token
2246.0,CyberMiles,CyberMiles,CMT,CyberMiles
2986.0,DACC,DACC,DACC,DACC
2696.0,DAEX,DAEX,DAX,DAEX
8874.0,DAFI Protocol,DAFI Protocol,DAFI,Dafi Protocol
8420.0,DAO Maker,DAO Maker,DAO,DAO Maker
7419.0,DAOFi,DAOFi,DAOFI,DAOfi
9016.0,DAOhaus,DAOhaus,HAUS,DAOhaus
2726.0,DAOstack,DAOstack,GEN,DAOstack
8478.0,DAOventures,DAOventures,DVG,DAOventures
3345.0,DAPS Coin,DAPS Coin,DAPS,DAPS Coin
2446.0,DATA,DATA,DTA,DATA
2567.0,DATx,DATx,DATX,DATx
9032.0,DDS.Store,DDS.Store,DDS,DDS.Store
5429.0,DEAPcoin,DEAPcoin,DEP,DEAPCOIN
1478.0,DECENT,DECENT,DCT,Decent
8699.0,DEGEN Index,DEGEN Index,DEGEN,DEGEN Index
7125.0,DEUS Finance,DEUS Finance,DEUS,DEUS Finance
5866.0,DEXTools,DEXTools,DEXT,DexTools
