,cmc_id,name,current_name,symbol,name_in_duneanalytics,name_in_debank,name_in_defi,name_in_tt,name_in_defistation,name_in_solana
3799,7813.0,Basis Cash,Basis Cash,BAC,,Basis Cash,,,,
3802,7816.0,Basis Share,Basis Share,BAS,,BAS,,,,
3811,7831.0,Narwhalswap,Narwhalswap,NAR,,,,,Narwhalswap,
3817,7838.0,Base Protocol,Base Protocol,BASE,,Base,,,,
3818,7838.0,Base Protocol,Base Protocol,BASE,,Base Protocol,,,,
3819,7839.0,Degov,Degov,DEGOV,,Degov,,,,
3821,7841.0,Idle,Idle,IDLE,,Idle,Idle Finance,Idle Finance,,
3822,7841.0,Idle,Idle,IDLE,,Idle,Idle-Finance,Idle Finance,,
3824,7844.0,ACryptoS,ACryptoS,ACS,,Acryptos,,,ACryptoS,
3831,7857.0,Mirror Protocol,Mirror Protocol,MIR,,Mirror,,Mirror Protocol,,
3832,7857.0,Mirror Protocol,Mirror Protocol,MIR,,Wrapped MIR Token,,Mirror Protocol,,
3833,7859.0,Badger DAO,Badger DAO,BADGER,,Badger DAO,Badger-DAO,BadgerDAO,,
3842,7874.0,PieDAO DEFI++,PieDAO DEFI++,DEFI++,,PieDAO,PieDAO,PieDAO,,
3843,7875.0,MM Token,MM Token,MM,,MMToken,,,,
3844,7875.0,MM Token,MM Token,MM,,Mushrooms,,,,
3923,7969.0,XVIX,XVIX,XVIX,,XVIX,,,,
3932,7978.0,Bonfida,Bonfida,FIDA,,,,,,Bonfida
3948,8000.0,Lido DAO Token,Lido DAO Token,LDO,,LIDO,,Lido Finance,,Lido
3949,8000.0,Lido DAO Token,Lido DAO Token,LDO,,Lido DAO Token,,Lido Finance,,Lido
3964,8019.0,N3RD Finance,N3RD Finance,N3RDz,,N3rd,,,,
3965,8019.0,N3RD Finance,N3RD Finance,N3RDz,,N3RD.FINANCE,,,,
3974,8029.0,Oxygen,Oxygen,OXY,,,,,,Oxygen
3980,8036.0,YVS.Finance,YVS.Finance,YVS,,YVS,,,,
3981,8036.0,YVS.Finance,YVS.Finance,YVS,,YVS.Finance,,,,
3993,8049.0,Tornado Cash,Tornado Cash,TORN,,Tornado,Tornado Cash,Tornado Cash,,
3994,8049.0,Tornado Cash,Tornado Cash,TORN,,Tornado,Tornado-Cash,Tornado Cash,,
3995,8049.0,Tornado Cash,Tornado Cash,TORN,,TornadoCash,Tornado Cash,Tornado Cash,,
3996,8049.0,Tornado Cash,Tornado Cash,TORN,,TornadoCash,Tornado-Cash,Tornado Cash,,
4002,8056.0,UNION Protocol Governance Token,UNION Protocol Governance Token,UNN,,UNION Protocol Governance Token,,,,
4003,8056.0,UNION Protocol Governance Token,UNION Protocol Governance Token,UNN,,unn,,,,
4010,8063.0,Duck DAO (DLP Duck Token),Duck DAO (DLP Duck Token),DUCK,,DuckDao,,,,
4015,8071.0,OnX Finance,OnX Finance,ONX,,,OnX-Finance,,,
4016,8074.0,Basis Dollar,Basis Dollar,BSD,,Basis Dollar,,,,
4019,8077.0,Rootkit Finance,Rootkit Finance,ROOT,,RootKit,,,,
4023,8083.0,Tokenlon Network Token,Tokenlon Network Token,LON,,Tokenlon,,Tokenlon,,
4032,8100.0,ankrETH,ankrETH,aEth,,Stkr,,,,
4034,8104.0,1inch,1inch,1INCH,1inch,1inch,1inch Liquidity Protocol,1inch,,
4035,8104.0,1inch,1inch,1INCH,1inch,1inch,1inch-Liquidity-Protocol,1inch,,
4036,8104.0,1inch,1inch,1INCH,1inch,1INCH Token,1inch Liquidity Protocol,1inch,,
4037,8104.0,1inch,1inch,1INCH,1inch,1INCH Token,1inch-Liquidity-Protocol,1inch,,
4038,8104.0,1inch,1inch,1INCH,1inch,1inch V1,1inch Liquidity Protocol,1inch,,
4039,8104.0,1inch,1inch,1INCH,1inch,1inch V1,1inch-Liquidity-Protocol,1inch,,
4041,8106.0,Dynamic Set Dollar,Dynamic Set Dollar,DSD,,DSD,,,,
4052,8121.0,Themis,Themis,MIS,,Themis,,,,
4053,8121.0,Themis,Themis,MIS,,ThemisToken,,,,
4063,8132.0,BiFi,BiFi,BIFI,,,,,BiFi,
4068,8137.0,MITH Cash,MITH Cash,MIC,,MITH.CASH,,,,
4071,8141.0,Mithril Share,Mithril Share,MIS,,ThemisToken,,,,
4082,8154.0,Basiscoin Share,Basiscoin Share,BCS,,BCS,,,,
4085,8159.0,One Cash,One Cash,ONC,,One Cash,,,,
4086,8160.0,One Share,One Share,ONS,,ONS,,,,
4090,8164.0,JulSwap,JulSwap,JULD,,JulSwap,,,JulSwap,
4092,8166.0,MAPS,MAPS,MAPS,,,,,,MAPS
4099,8175.0,COVER Protocol,COVER Protocol,COVER,,COVER,Cover Protocol,,,
4100,8175.0,COVER Protocol,COVER Protocol,COVER,,COVER,Cover-Protocol,,,
4101,8175.0,COVER Protocol,COVER Protocol,COVER,,Cover Protocol Governance Token,Cover Protocol,,,
4102,8175.0,COVER Protocol,COVER Protocol,COVER,,Cover Protocol Governance Token,Cover-Protocol,,,
4118,8192.0,Zero Collateral Dai,Zero Collateral Dai,ZAI,,ZAI V1,,,,
4119,8192.0,Zero Collateral Dai,Zero Collateral Dai,ZAI,,ZAI V2,,,,
4120,8192.0,Zero Collateral Dai,Zero Collateral Dai,ZAI,,Zero Collateral Dai,,,,
4129,8202.0,ZKSwap,ZKSwap,ZKS,,Zks,,,,
4130,8202.0,ZKSwap,ZKSwap,ZKS,,ZKSwap,,,,
4134,8206.0,QuickSwap,QuickSwap,QUICK,,,,QuickSwap,,
4143,8219.0,bDollar,bDollar,BDO,,bDollar,,,,
4152,8229.0,UniMex Network,UniMex Network,UMX,,Unimex,,,,
4156,8234.0,Daiquilibrium,Daiquilibrium,DAIQ,,Daiq,,,,
4157,8234.0,Daiquilibrium,Daiquilibrium,DAIQ,,Daiquilibrium,,,,
4160,8237.0,Basis Dollar Share,Basis Dollar Share,BSDS,,Basis Dollar Share,,,,
4171,8253.0,Mars,Mars,Mars,,Mars,,,,
4172,8253.0,Mars,Mars,Mars,,MarsToken,,,,
4176,8259.0,Furucombo,Furucombo,COMBO,,Furucombo,,,,
4177,8260.0,Indexed Finance,Indexed Finance,NDX,,Indexed,,Indexed Finance,,
4181,8265.0,Helmet.insure,Helmet.insure,HELMET,,Helmet,,,,
4189,8273.0,Basis Gold,Basis Gold,BAG,,Basis Gold,,,,
4211,8299.0,Stake DAO,Stake DAO,SDT,,Stake DAO,,Stake DAO,,
4212,8299.0,Stake DAO,Stake DAO,SDT,,Stake DAO Token,,Stake DAO,,
4218,8306.0,Typhoon Cash,Typhoon Cash,PHOON,,Typhoon,,,,
4219,8306.0,Typhoon Cash,Typhoon Cash,PHOON,,TyphoonCash,,,,
4221,8309.0,ARMOR,ARMOR,ARMOR,,Armor,,,,
4229,8316.0,XUSD Stable,XUSD Stable,XUSD,,XUSD,,,,
4242,8334.0,Kebab Token,Kebab Token,KEBAB,,,,,Kebab Finance,
4243,8335.0,Mdex,Mdex,MDX,,,,,Mdex,
4289,8385.0,Umbrella Network,Umbrella Network,UMB,,Umbrella,,,,
4291,8387.0,Auto,Auto,AUTO,,AutoFarm,,,Autofarm,
4321,8422.0,Pangolin,Pangolin,PNG,,,,Pangolin,,
4332,8436.0,Freeliquid,Freeliquid,FL,,FL,,,,
4333,8436.0,Freeliquid,Freeliquid,FL,,Freeliquid,,,,
4336,8439.0,Warp Finance,Warp Finance,WARP,,Warp,Warp-Finance,,,
4346,8449.0,Goose Finance,Goose Finance,EGG,,Goose Finance,,,Goose Finance,
4374,8486.0,Midas Dollar,Midas Dollar,MDO,,,,,Midas Dollar,
4380,8492.0,Vesper,Vesper,VSP,,Vesper,Vesper,,,
4385,8497.0,ApeSwap Finance,ApeSwap Finance,BANANA,,,,,ApeSwap,
4393,8508.0,PoolTogether,PoolTogether,POOL,PoolTogether,PoolTogether,,PoolTogether,,
4403,8519.0,Xend Finance,Xend Finance,XEND,,,,,Xend Finance,
4408,8525.0,Rai Reflex Index,Rai Reflex Index,RAI,,Reflexer,,,,
4409,8526.0,Raydium,Raydium,RAY,,RAY,,,,Raydium
4439,8558.0,BT.Finance,BT.Finance,BT,,BT.Finance,,,,
4468,8598.0,xSigma,xSigma,SIG,,xSigma,,,,
4469,8599.0,xToken,xToken,XTK,,xToken,,,,
4472,8602.0,Bounce Token,Bounce Token,AUCTION,,Bounce,,,,
4473,8602.0,Bounce Token,Bounce Token,AUCTION,,Bounce Token,,,,
4481,8612.0,Float Protocol,Float Protocol,BANK,,Float,,,,
4482,8613.0,Alchemix,Alchemix,ALCX,,Alchemix,Alchemix,Alchemix Finance,,
4505,8642.0,Fei Protocol,Fei Protocol,FEI,,Fei,,Fei Protocol,,
4521,8659.0,Jetfuel Finance,Jetfuel Finance,FUEL,,,,,Jetfuel.Finance,
4545,8691.0,DEXTF Protocol,DEXTF Protocol,DEXTF,,Dextf,Dextf,,,
4546,8691.0,DEXTF Protocol,DEXTF Protocol,DEXTF,,DEXTF Token,Dextf,,,
4555,8701.0,Siren,Siren,SI,,Siren,Siren,SIREN Markets,,
4559,8707.0,Alpaca Finance,Alpaca Finance,ALPACA,,Alpaca Finance,,,,
4560,8708.0,Big Data Protocol,Big Data Protocol,BDP,,BDPToken,,,,
4561,8708.0,Big Data Protocol,Big Data Protocol,BDP,,Big Data Protocol,,,,
4571,8720.0,Inverse Finance,Inverse Finance,INV,,Inverse,Inverse,,,
4579,8730.0,Belt,Belt,BELT,,Belt.fi,,,,
4584,8736.0,HyruleSwap,HyruleSwap,RUPEE,,,,,HyruleSwap,
4594,8747.0,CheesecakeSwap Token,CheesecakeSwap Token,CCAKE,,,,,CheesecakeSwap,
4600,8755.0,Nerve Finance,Nerve Finance,NRV,,Nerve,,,Nerve Finance,Nerve Finance
4603,8758.0,dFuture,dFuture,DFT,,dfuture,,,,
4641,8801.0,Lightning,Lightning,LIGHT,,,Lightning Network,,,
4642,8801.0,Lightning,Lightning,LIGHT,,,Lightning-Network,,,
4691,8856.0,Mango Finance,Mango Finance,MANGO,,,,,,Mango
4724,8891.0,Bitcoin Standard Hashrate Token,Bitcoin Standard Hashrate Token,BTCST,,,,,BTC Standard Hashrate Token,
4729,8896.0,Unslashed Finance,Unslashed Finance,USF,,Unslashed,,,,
4760,8934.0,StakerDAO,StakerDAO,STKR,,Stkr,,,,
4763,8938.0,Ellipsis,Ellipsis,EPS,,Ellipsis,,Ellipsis Finance,Ellipsis Finance,
4782,8961.0,Futureswap,Futureswap,FST,,,Futureswap,Futureswap,,
4820,9021.0,Wrapped XDAI,Wrapped XDAI,wxDai,,xDai,,,,
4843,9043.0,Stone DeFi,Stone DeFi,STN,,STONE,,,,
4852,9054.0,Robo Token,Robo Token,ROBO,,,Robo-Advisor for Yield,,,
4853,9054.0,Robo Token,Robo Token,ROBO,,,Robo-Advisor-for-Yield,,,
4879,9083.0,Equalizer,Equalizer,EQZ,,Equalizer,,,,
4883,9087.0,xDeFi,xDeFi,XDEX,,XDEFI,,,,
4887,9090.0,Pumpy farm,Pumpy farm,PMP,,,,,Pumpy,
4943,9157.0,BasketDAO,BasketDAO,BASK,,,,Basket DAO,,
5002,9229.0,WHEAT Token,WHEAT Token,WHEAT,,,,,WHEAT,
5073,9338.0,Fair Safe,Fair Safe,FSAFE,,FairSwap,,,,
5098,9377.0,TreeDefi,TreeDefi,SEED,,,,,TreeDefi,
5147,9443.0,Step Finance,Step Finance,STEP,,,,,,Step Finance
5183,9493.0,Reflexer Ungovernance Token,Reflexer Ungovernance Token,FLX,,Reflexer,Reflexer,Reflexer,,
5203,9532.0,Impermax,Impermax,IMX,,,Impermax,,,
5235,9578.0,Dungeonswap,Dungeonswap,DND,,,,,Dungeonswap,
5246,,,,,dYdX,,,,,
5247,,,,,InstaDApp,,,,,
5248,,,,,Set Protocol,,,,,
5249,,,,,,1inch2,,,,
5250,,,,,,1sd,,,,
5251,,,,,,aave,,,,
5252,,,,,,Aave AMM,,,,
5253,,,,,,aave2,,,,
5254,,,,,,acBTC,,,,
5255,,,,,,ACO,,,,
5256,,,,,,Agave,,,,
5257,,,,,,APWine,,,,
5258,,,,,,ARCx,,,,
5259,,,,,,Artem,,,,
5260,,,,,,B.Protocol,,,,
5261,,,,,,Bao.Finance,,,,
5262,,,,,,Basis Coin,,,,
5263,,,,,,BBTC,,,,
5264,,,,,,BnEX,,,,
5265,,,,,,bsc_1inch,,,,
5266,,,,,,bsc_cream,,,,
5267,,,,,,bsc_dodoex,,,,
5268,,,,,,bsc_ellipsis,,,,
5269,,,,,,bsc_mdex,,,,
5270,,,,,,bsc_pancakeswap,,,,
5271,,,,,,bsc_qian,,,,
5272,,,,,,bsc_venus,,,,
5273,,,,,,bzx2,,,,
5274,,,,,,Charm,,,,
5275,,,,,,ChickenSwap,,,,
5276,,,,,,component,,,,
5277,,,,,,Connext,,,,
5278,,,,,,DDEX,,,,
5279,,,,,,Debaseonomics,,,,
5280,,,,,,Deerfi,,,,
5281,,,,,,DeFi Swap,,,,
5282,,,,,,defiswap,,,,
5283,,,,,,DeFlast,,,,
5284,,,,,,DeversiFi,,,,
5285,,,,,,dexag,,,,
5286,,,,,,dmm.exchange,,,,
5287,,,,,,dodoex,,,,
5288,,,,,,dYdX,,,,
5289,,,,,,Emoon,,,,
5290,,,,,,Emporium,,,,
5291,,,,,,Empty Set Gold,,,,
5292,,,,,,Fei Protocol,,,,
5293,,,,,,FIREDAO,,,,
5294,,,,,,forbank2,,,,
5295,,,,,,HBTC,,,,
5296,,,,,,Honeyswap,,,,
5297,,,,,,HyperBC Farm,,,,
5298,,,,,,imBTC,,,,
5299,,,,,,Incognito,,,,
5300,,,,,,InstaDapp,,,,
5301,,,,,,Kine,,,,
5302,,,,,,Kwenta,,,,
5303,,,,,,M.finance,,,,
5304,,,,,,makerdao,,,,
5305,,,,,,Matcha,,,,
5306,,,,,,Mesa,,,,
5307,,,,,,MetaMask Swaps,,,,
5308,,,,,,Mooniswap,,,,
5309,,,,,,mStable,,,,
5310,,,,,,Notional,,,,
5311,,,,,,Nuo,,,,
5312,,,,,,oBTC,,,,
5313,,,,,,OpenOcean,,,,
5314,,,,,,OpenSea,,,,
5315,,,,,,Opyn,,,,
5316,,,,,,Opyn V1,,,,
5317,,,,,,ParaSwap,,,,
5318,,,,,,Pegscash,,,,
5319,,,,,,Pendle,,,,
5320,,,,,,Polymarket,,,,
5321,,,,,,PureSwap,,,,
5322,,,,,,Rari Capital,,,,
5323,,,,,,renBTC,,,,
5324,,,,,,Sablier,,,,
5325,,,,,,Saddle,,,,
5326,,,,,,sfinance,,,,
5327,,,,,,Smoothy,,,,
5328,,,,,,STEROIDS,,,,
5329,,,,,,Sunflower Swap,,,,
5330,,,,,,sunflowerswap,,,,
5331,,,,,,Tax Heaven,,,,
5332,,,,,,TokenSets,,,,
5333,,,,,,Totle,,,,
5334,,,,,,TRAMS,,,,
5335,,,,,,Unagii,,,,
5336,,,,,,Unisave,,,,
5337,,,,,,uniswap2,,,,
5338,,,,,,uniswap3,,,,
5339,,,,,,unit protocol,,,,
5340,,,,,,USD++,,,,
5341,,,,,,USDx,,,,
5342,,,,,,Volmex,,,,
5343,,,,,,WBTC,,,,
5344,,,,,,WePiggy,,,,
5345,,,,,,Y3D,,,,
5346,,,,,,yfv,,,,
5347,,,,,,Zelda,,,,
5348,,,,,,Zero Set Dollar,,,,
5349,,,,,,,B.Protocol,,,
5350,,,,,,,Bella-Flex-Saving,,,
5351,,,,,,,Connext,,,
5352,,,,,,,DDEX,,,
5353,,,,,,,DeFi-Saver,,,
5354,,,,,,,DeversiFi,,,
5355,,,,,,,dYdX,,,
5356,,,,,,,Erasure,,,
5357,,,,,,,InstaDApp,,,
5358,,,,,,,Integral,,,
5359,,,,,,,LINKSWAP,,,
5360,,,,,,,Nexus Mutual,,,
5361,,,,,,,Notional,,,
5362,,,,,,,Opium Network,,,
5363,,,,,,,Opyn,,,
5364,,,,,,,Primitive,,,
5365,,,,,,,Saddle,,,
5366,,,,,,,Set Protocol,,,
5367,,,,,,,Set-Protocol,,,
5368,,,,,,,WePiggy,,,
5369,,,,,,,,Autofarm,,
5370,,,,,,,,dYdX,,
5371,,,,,,,,Erasure Protocol,,
5372,,,,,,,,Instadapp,,
5373,,,,,,,,Integral Protocol,,
5374,,,,,,,,MetaMask,,
5375,,,,,,,,Mooniswap,,
5376,,,,,,,,Notional Finance,,
5377,,,,,,,,Opyn,,
5378,,,,,,,,Polymarket,,
5379,,,,,,,,Rari Capital,,
5380,,,,,,,,Saddle Finance,,
5381,,,,,,,,Set Protocol,,
5382,,,,,,,,,ARIES FINANCIAL,
5383,,,,,,,,,bDollar Protocol,
5384,,,,,,,,,Belt Finance,
5385,,,,,,,,,bStable.finance,
5386,,,,,,,,,BTcoin.Finance,
5387,,,,,,,,,CBerry,
5388,,,,,,,,,Cobalt.finance,
5389,,,,,,,,,Degen Token Finance,
5390,,,,,,,,,Demex,
5391,,,,,,,,,Elephant Money,
5392,,,,,,,,,Iron Finance,
5393,,,,,,,,,PokeMoon,
5394,,,,,,,,,Stakecow,
5395,,,,,,,,,STORMSWAP,
5396,,,,,,,,,SwampFinance,
5397,,,,,,,,,Thugs,
5398,,,,,,,,,Value DeFi,
5399,,,,,,,,,Waypoint,
5400,,,,BADGER,BadgerDAO,,,,,
5401,,,,BADGER,,Badger DAO,,,,
5402,,,,CREAM,Cream,,,,,
5403,,,,CRV,Curve,,,,,
5404,,,,KNC,Kyber,,,,,
5405,,,,ALPHA,,Alpha Homora,,,,
5406,,,,ALPHA,,,Alpha Homora,,,
5407,,,,ALPHA,,,Alpha-Homora,,,
5408,,,,BSGS,,BSGS,,,,
5409,,,,BUNNY,,Bunny,,,,
5410,,,,BZRX,,bZx,,,,
5411,,,,BZRX,,bZx V1,,,,
5412,,,,DOLLAR,,Dollar,,,,
5413,,,,eXRD,,E-RADIX,,,,
5414,,,,FARM,,Harvest,,,,
5415,,,,FXC,,Flexa,,,,
5416,,,,FXC,,,Flexa,,,
5417,,,,LDO,,LIDO,,,,
5418,,,,LEV,,Leverj,,,,
5419,,,,MARK,,Benchmark(MARK),,,,
5420,,,,MIS2,,MIS2,,,,
5421,,,,"MPH
",,88mph V1,,,,
5422,,,,NFTFY,,NFTfi,,,,
5423,,,,Nsure,,Nsure Network Token,,,,
5424,,,,PCT,,Percent,,,,
5425,,,,PERP,,Perpetual,,,,
5426,,,,REPv2,,Reputation,,,,
5427,,,,RF!,,Reflect,,,,
5428,,,,SAC,,Stand Cash,,,,
5429,,,,SAFE2,,SAFE2,,,,
5430,,,,SAS,,SAS,,,,
5431,,,,SHELL,,Shell,,,,
5432,,,,SHELL,,,Shell,,,
5433,,,,SIG,,X SIGMA,,,,
5434,,,,STONE,,STONE,,,,
5435,,,,TEAM,,Team Finance,,,,
5436,,,,UNN,,unn,,,,
5437,,,,XOS,,Oasis,,,,
5438,,,,XSAT,,Saturn,,,,
5439,,,,Yf-DAI,,YfDAI.finance,,,,
5440,,,,YFI,,Yearn,,,,
5441,,,,YFI,,Yearn V2,,,,
5442,,,,YIELDX,,HubrisOne X,,,,
5443,,,,CRX,,,Cryptex,,,
5444,,,,MM,,,Mushrooms-Finance,,,
5445,,,,CFG,,,,Centrifuge,,
5446,,,,"VSP
",,,,Vesper Finance,,
5447,,,,BHSC,,,,,BlackHoleSwap,
5448,,,,,,,,,,MATH Wallet
5449,,,,,,,,,,unlimitedcope
5450,,,,ORCA,,,,,,Orca
