pair1,pair2,tvl,apr,where,network
BTC,USDC,54131.76,1979.83,https://app.compli.fi,ETH
ETH,USDC,3847.21,55714,https://app.compli.fi,ETH
ETH,USDC,14324.85,7481.52,https://app.compli.fi,ETH
ETH,USDC,9466.05,11321.68,https://app.compli.fi,ETH
LINK,USDC,0.00,--,https://app.compli.fi,ETH
LINK,USDC,3305.44,32422.86,https://app.compli.fi,ETH
LINK,USDC,0.00,--,https://app.compli.fi,ETH
UNI,USDC,0.00,--,https://app.compli.fi,ETH
UNI,USDC,10889.58,9841.67,https://app.compli.fi,ETH
UNI,USDC,5616.70,19080.9,https://app.compli.fi,ETH
COMFI,WETH,689597.53,25635.31,https://app.compli.fi,ETH
